Donald,WA,Washington,Yakima,0,0
Altoona,WA,Washington,Wahkiakum,61,4
South Prairie,WA,Washington,Pierce,443,441
Eschbach,WA,Washington,Yakima,377,123
Indianola,WA,Washington,Kitsap,3520,258
Reardan,WA,Washington,Lincoln,582,451
Cowiche,WA,Washington,Yakima,960,708
Sunday Lake,WA,Washington,Snohomish,666,148
Rocky Point,WA,Washington,Kitsap,1449,790
Burbank,WA,Washington,Walla Walla,3398,99
Lakeland North,WA,Washington,King,12487,1452
Granite Falls,WA,Washington,Snohomish,6565,632
Camas,WA,Washington,Clark,23331,646
Skokomish,WA,Washington,Mason,755,43
Cusick,WA,Washington,Pend Oreille,217,161
Rosalia,WA,Washington,Whitman,567,348
Longbranch,WA,Washington,Pierce,3236,62
Granger,WA,Washington,Yakima,3542,841
North Fort Lewis,WA,Washington,Pierce,5009,328
Tampico,WA,Washington,Yakima,465,46
Tukwila,WA,Washington,King,20144,847
Cathlamet,WA,Washington,Wahkiakum,553,428
Wenatchee,WA,Washington,Chelan,71512,1314
Port Ludlow,WA,Washington,Jefferson,2642,88
Castle Rock,WA,Washington,Cowlitz,2833,433
Glacier,WA,Washington,Whatcom,102,13
Index,WA,Washington,Snohomish,205,384
Republic,WA,Washington,Ferry,1062,274
Bellevue,WA,Washington,King,144444,1666
Malo,WA,Washington,Ferry,72,236
Anderson Island,WA,Washington,Pierce,1292,64
University Place,WA,Washington,Pierce,33401,1547
Montesano,WA,Washington,Grays Harbor,8494,147
Rainier,WA,Washington,Thurston,2126,473
Fords Prairie,WA,Washington,Lewis,1812,188
Roy,WA,Washington,Pierce,820,652
Oso,WA,Washington,Snohomish,212,29
Marblemount,WA,Washington,Skagit,0,0
Elk Plain,WA,Washington,Pierce,14280,716
Burlington,WA,Washington,Skagit,8783,792
Bangor Base,WA,Washington,Kitsap,6358,221
Beaux Arts Village,WA,Washington,King,326,1524
Port Gamble Tribal Community,WA,Washington,Kitsap,920,83
Olympia,WA,Washington,Thurston,196078,1092
East Wenatchee,WA,Washington,Douglas,13983,1425
Addy,WA,Washington,Stevens,96,105
Minnehaha,WA,Washington,Clark,11767,2056
Bryn Mawr-Skyway,WA,Washington,King,18365,2500
Satsop,WA,Washington,Grays Harbor,572,31
Riverbend,WA,Washington,King,2241,294
Easton,WA,Washington,Kittitas,395,47
Silverdale,WA,Washington,Kitsap,20664,631
Napavine,WA,Washington,Lewis,1893,252
Lochsloy,WA,Washington,Snohomish,3188,164
Ellensburg,WA,Washington,Kittitas,23471,1022
McKenna,WA,Washington,Pierce,978,347
Fairfield,WA,Washington,Spokane,616,387
Northwest Stanwood,WA,Washington,Snohomish,144,77
Mansfield,WA,Washington,Douglas,339,401
Duvall,WA,Washington,King,7813,1230
Markham,WA,Washington,Grays Harbor,238,82
Waller,WA,Washington,Pierce,8064,391
Longview,WA,Washington,Cowlitz,65619,976
Richland,WA,Washington,Benton,56243,556
Rosedale,WA,Washington,Pierce,4459,379
Vancouver,WA,Washington,Clark,175673,1386
Bethel,WA,Washington,Kitsap,3673,448
Custer,WA,Washington,Whatcom,149,31
Lofall,WA,Washington,Kitsap,2211,427
Fairwood,WA,Washington,King,19531,1592
Winlock,WA,Washington,Lewis,1354,405
Sumner,WA,Washington,Pierce,10093,517
Cottage Lake,WA,Washington,King,23941,406
Puget Island,WA,Washington,Wahkiakum,899,45
Woods Creek,WA,Washington,Snohomish,5826,160
Washougal,WA,Washington,Clark,15711,1108
Sisco Heights,WA,Washington,Snohomish,2810,86
Canterwood,WA,Washington,Pierce,3220,576
Wapato,WA,Washington,Yakima,7686,1646
Lower Elochoman,WA,Washington,Wahkiakum,160,40
Lake Goodwin,WA,Washington,Snohomish,3879,374
