CBSA_CODE,CBSA_TITLE,AREA_TYPE,CSA_TITLE,COUNTY,STATE_NAME,IS_CENTRAL
28700,"Kingsport-Bristol, TN-VA",Metro,"Johnson City-Kingsport-Bristol, TN-VA",Scott County,Virginia,0
28700,"Kingsport-Bristol, TN-VA",Metro,"Johnson City-Kingsport-Bristol, TN-VA",Washington County,Virginia,0
28700,"Kingsport-Bristol, TN-VA",Metro,"Johnson City-Kingsport-Bristol, TN-VA",Bristol city,Virginia,0
28740,"Kingston, NY",Metro,"New York-Newark, NY-NJ-CT-PA",Ulster County,New York,1
28780,"Kingsville, TX",Micro,"Corpus Christi-Kingsville-Alice, TX",Kenedy County,Texas,0
28780,"Kingsville, TX",Micro,"Corpus Christi-Kingsville-Alice, TX",Kleberg County,Texas,1
28820,"Kinston, NC",Micro,"Greenville-Kinston-Washington, NC",Lenoir County,North Carolina,1
28860,"Kirksville, MO",Micro,,Adair County,Missouri,1
28860,"Kirksville, MO",Micro,,Schuyler County,Missouri,0
28900,"Klamath Falls, OR",Micro,,Klamath County,Oregon,1
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Anderson County,Tennessee,1
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Blount County,Tennessee,1
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Campbell County,Tennessee,0
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Knox County,Tennessee,1
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Loudon County,Tennessee,1
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Morgan County,Tennessee,0
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Roane County,Tennessee,0
28940,"Knoxville, TN",Metro,"Knoxville-Morristown-Sevierville, TN",Union County,Tennessee,0
29020,"Kokomo, IN",Metro,"Kokomo-Peru, IN",Howard County,Indiana,1
29060,"Laconia, NH",Micro,"Boston-Worcester-Providence, MA-RI-NH-CT",Belknap County,New Hampshire,1
29100,"La Crosse-Onalaska, WI-MN",Metro,,Houston County,Minnesota,1
29100,"La Crosse-Onalaska, WI-MN",Metro,,La Crosse County,Wisconsin,1
29180,"Lafayette, LA",Metro,"Lafayette-Opelousas-Morgan City, LA",Acadia Parish,Louisiana,0
29180,"Lafayette, LA",Metro,"Lafayette-Opelousas-Morgan City, LA",Iberia Parish,Louisiana,1
