CBSA_CODE,CBSA_TITLE,AREA_TYPE,CSA_TITLE,COUNTY,STATE_NAME,IS_CENTRAL
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Scott County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Sherburne County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Washington County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Wright County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Pierce County,Wisconsin,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",St. Croix County,Wisconsin,0
33500,"Minot, ND",Micro,,McHenry County,North Dakota,0
33500,"Minot, ND",Micro,,Renville County,North Dakota,0
33500,"Minot, ND",Micro,,Ward County,North Dakota,1
33540,"Missoula, MT",Metro,,Missoula County,Montana,1
33580,"Mitchell, SD",Micro,,Davison County,South Dakota,1
33580,"Mitchell, SD",Micro,,Hanson County,South Dakota,0
33620,"Moberly, MO",Micro,"Columbia-Moberly-Mexico, MO",Randolph County,Missouri,1
33660,"Mobile, AL",Metro,"Mobile-Daphne-Fairhope, AL",Mobile County,Alabama,1
33660,"Mobile, AL",Metro,"Mobile-Daphne-Fairhope, AL",Washington County,Alabama,0
33700,"Modesto, CA",Metro,"San Jose-San Francisco-Oakland, CA",Stanislaus County,California,1
33740,"Monroe, LA",Metro,"Monroe-Ruston, LA",Morehouse Parish,Louisiana,0
33740,"Monroe, LA",Metro,"Monroe-Ruston, LA",Ouachita Parish,Louisiana,1
